Date : 2024-03-02 11:06:42
Directory : d:\Project\NewClientPanel\new_client_panel-app
Total : 241 files,  25916 codes, 202 comments, 451 blanks, all 26569 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\grayUploadFile.svg                                                          | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\inventoryIcon.svg                                                           | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\loginReportsIcon.svg                                                        | XML                |          5 |          0 |          1 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\magnifier.svg                                                               | XML                |         11 |          0 |          1 |         12 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\money.svg                                                                   | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\multiple.svg                                                                | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\noAddedFile.svg                                                             | XML                |          6 |          0 |          1 |          7 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\noApplication.svg                                                           | XML                |         56 |          0 |          1 |         57 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\noTickets.svg                                                               | XML                |         39 |          0 |          1 |         40 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\operationDots.svg                                                           | XML                |          5 |          0 |          1 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\operationDotsTablet.svg                                                     | XML                |          5 |          0 |          1 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\parsianBankLogo.svg                                                         | XML                |         14 |          0 |          1 |         15 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\personalInfo.svg                                                            | XML                |          5 |          0 |          1 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\personalInfoIcon.svg                                                        | XML                |          5 |          0 |          1 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\plus.svg                                                                    | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\ramzNegarCompleteLogo.svg                                                   | XML                |         50 |          0 |          1 |         51 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\ramzNegarLogo.svg                                                           | XML                |         22 |          0 |          1 |         23 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\search.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\sendTicket.svg                                                              | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\servicesSubOperation.svg                                                    | XML                |          5 |          0 |          1 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\technicalDocumentationIcon.svg                                              | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\tickets.svg                                                                 | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\upload.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\uploadFile.svg                                                              | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\useHelpIcon.svg                                                             | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\wageIcon.svg                                                                | XML                |          7 |          0 |          1 |          8 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\whiteEdit.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\whiteSendTicket.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\yellowEdit.svg                                                              | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\server.js                                                                                        | JavaScript         |         15 |          0 |          3 |         18 |
| d:\Project\NewClientPanel\new_client_panel-app\src\common\Accordion.js                                                                          | JavaScript         |        135 |          0 |          2 |        137 |
| d:\Project\NewClientPanel\new_client_panel-app\src\common\Input.js                                                                              | JavaScript         |         55 |          0 |          2 |         57 |
| d:\Project\NewClientPanel\new_client_panel-app\src\common\SearchForm.js                                                                         | JavaScript         |         36 |          0 |          2 |         38 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\HomePageContent\ramzNegarCustomers.js                                             | JavaScript         |         24 |          0 |          2 |         26 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\HomePageContent\ramzNegarServices.js                                              | JavaScript         |        321 |          0 |          4 |        325 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\HomePageContent\ramzNegarSystem.js                                                | JavaScript         |         64 |          0 |          2 |         66 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\HomePageContent\whyRamzNegar.js                                                   | JavaScript         |        114 |          0 |          2 |        116 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\ApplicationsTable.js                                                 | JavaScript         |        164 |          1 |          2 |        167 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\addApplication\AppLicense.js                                         | JavaScript         |         91 |          0 |          2 |         93 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\addApplication\AppPublicInfo.js                                      | JavaScript         |        190 |          0 |          2 |        192 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\applicationDetails\AppServices.js                                    | JavaScript         |        139 |          0 |          2 |        141 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\applicationDetails\AppSpecifications.js                              | JavaScript         |         88 |          0 |          3 |         91 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\applicationDetails\callServicesReports\CallServicesReportsForm.js    | JavaScript         |        329 |         13 |          3 |        345 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\applicationDetails\callServicesReports\CallServicesReportsTable.js   | JavaScript         |        124 |          4 |          5 |        133 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\carousel\Carousel.js                                                              | JavaScript         |        109 |          0 |          3 |        112 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\clientUser\ChangePassword\DesktopChangePassword.js                                | JavaScript         |        193 |          0 |          6 |        199 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\clientUser\ChangePassword\MobileChangePassword.js                                 | JavaScript         |        133 |          0 |          3 |        136 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\clientUser\ResetPasswordForm\ResetPasswordForm.js                                 | JavaScript         |        168 |          0 |          3 |        171 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\clientUser\SignOut\SignoutModal.js                                                | JavaScript         |         65 |          0 |          2 |         67 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\clientUser\SignUpForm\MobileSignUpForm\MobileSignUpForm.js                        | JavaScript         |        135 |          2 |          2 |        139 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\clientUser\SignUpForm\TabletSignUpForm\TabletSignUpForm.js                        | JavaScript         |        109 |          0 |          3 |        112 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\clientUser\SignUpForm\signUp.js                                                   | JavaScript         |        208 |          0 |          4 |        212 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\clientUser\UserInfoDetails\DesktopUserInfoDetails.js                              | JavaScript         |        224 |          0 |          3 |        227 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\clientUser\UserInfoDetails\MobileUserInfoDetails.js                               | JavaScript         |        237 |          0 |          2 |        239 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\clientUser\signInForm\SignInForm.js                                               | JavaScript         |        276 |          0 |          4 |        280 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\financial\financialReports\FinancialReportsForm.js                                | JavaScript         |        328 |         12 |          2 |        342 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\financial\financialReports\FinancialReportsTable.js                               | JavaScript         |        158 |          4 |          5 |        167 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\loginReports\LoginReportsTable.js                                                 | JavaScript         |         80 |          0 |          2 |         82 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\ramzNegarServicesSection\ramzNegarServicesSection.js                              | JavaScript         |         54 |          0 |          2 |         56 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\technicalDocsServices\TechnicalDocsServicesTable.js                               | JavaScript         |        162 |          0 |          4 |        166 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\tickets\TicketsTable.js                                                           | JavaScript         |        184 |          1 |          2 |        187 |
| d:\Project\NewClientPanel\new_client_panel-app\src\components\tickets\addTicket\AddTicket.js                                                    | JavaScript         |        264 |          0 |          3 |        267 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\HomePageLayout\HomePageFooter\HomePageFooter.js                                    | JavaScript         |        223 |          0 |          2 |        225 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\HomePageLayout\HomePageHeader\Desktop\HomePageDesktopHeader.js                     | JavaScript         |         88 |          0 |          3 |         91 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\HomePageLayout\HomePageHeader\MobileAndTablet\HomePageTabletAndMobileHeader.js     | JavaScript         |         53 |          0 |          2 |         55 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\HomePageLayout\HomePageHeader\MobileAndTablet\MobileAndTabletMenu.js               | JavaScript         |        199 |          0 |          3 |        202 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\HomePageLayout\HomePageLayout.js                                                   | JavaScript         |         14 |          0 |          3 |         17 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\LandingLayout\LandingFooter\LandingFooter.js                                       | JavaScript         |        223 |          0 |          2 |        225 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\LandingLayout\LandingHeader\Desktop\LandingDesktopHeader.js                        | JavaScript         |         49 |          0 |          3 |         52 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\LandingLayout\LandingHeader\LandingMobileAndTablet\LandingMobileAndTabletHeader.js | JavaScript         |         53 |          0 |          3 |         56 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\LandingLayout\LandingHeader\LandingMobileAndTablet\LandingMobileAndTabletMenu.js   | JavaScript         |        201 |          0 |          3 |        204 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\LandingLayout\coinLandingLayout.js                                                 | JavaScript         |         81 |          0 |          2 |         83 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\LandingLayout\myPoliceLandingLayout.js                                             | JavaScript         |         84 |          0 |          2 |         86 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\LandingLayout\serviceLandingLayout.js                                              | JavaScript         |         83 |          0 |          2 |         85 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\panelLayout\DesktopLayout\DesktopHeader.js                                         | JavaScript         |         38 |          0 |          2 |         40 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\panelLayout\DesktopLayout\DesktopSideBar.js                                        | JavaScript         |        305 |          0 |          2 |        307 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\panelLayout\MobileAndTabletLayout\MobileAndTabletMenu.js                           | JavaScript         |        274 |          0 |          4 |        278 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\panelLayout\MobileAndTabletLayout\TabletAndMobileHeader.js                         | JavaScript         |         46 |          0 |          2 |         48 |
| d:\Project\NewClientPanel\new_client_panel-app\src\container\panelLayout\index.js                                                               | JavaScript         |         59 |          0 |          3 |         62 |
| d:\Project\NewClientPanel\new_client_panel-app\src\context\UserProvider.js                                                                      | JavaScript         |         55 |          0 |          5 |         60 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\404.js                                                                                 | JavaScript         |         50 |          0 |          3 |         53 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\_app.js                                                                                | JavaScript         |         50 |          2 |          5 |         57 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\_document.js                                                                           | JavaScript         |         17 |          0 |          2 |         19 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\api\hello.js                                                                           | JavaScript         |          3 |          1 |          2 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\index.js                                                                               | JavaScript         |         41 |          0 |          2 |         43 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\applications\addNewApplication\appTermsAndConditions\index.js                    | JavaScript         |        433 |         25 |          3 |        461 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\applications\addNewApplication\index.js                                          | JavaScript         |        329 |          5 |          7 |        341 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\applications\applicationDetails\[appId]\addService\index.js                      | JavaScript         |        124 |          2 |          6 |        132 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\applications\applicationDetails\[appId]\index.js                                 | JavaScript         |        108 |          3 |          9 |        120 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\applications\index.js                                                            | JavaScript         |        101 |          1 |          7 |        109 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\financial\financialReports\index.js                                              | JavaScript         |         13 |          0 |          3 |         16 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\financial\increaseCredit\index.js                                                | JavaScript         |        243 |         41 |          5 |        289 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\loginReports\index.js                                                            | JavaScript         |         35 |          1 |          6 |         42 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\technicalDocsServices\index.js                                                   | JavaScript         |         94 |          1 |          5 |        100 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\tickets\addNewTicket\index.js                                                    | JavaScript         |        126 |          4 |          8 |        138 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\tickets\index.js                                                                 | JavaScript         |         99 |          1 |          6 |        106 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\tickets\ticketDetails\[ticketId]\index.js                                        | JavaScript         |        540 |         22 |          8 |        570 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\panel\userManual\index.js                                                              | JavaScript         |         47 |          0 |          2 |         49 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\ramzNegarServices\coinServices.js                                                      | JavaScript         |         33 |          0 |          2 |         35 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\ramzNegarServices\myPoliceServices.js                                                  | JavaScript         |         33 |          0 |          2 |         35 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\ramzNegarServices\serviceServices.js                                                   | JavaScript         |         33 |          0 |          2 |         35 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\termsAndConditions\index.js                                                            | JavaScript         |        483 |          0 |          3 |        486 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\user\changePassword\index.js                                                           | JavaScript         |         96 |          0 |          3 |         99 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\user\resetPassword\index.js                                                            | JavaScript         |         16 |          0 |          3 |         19 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\user\signIn\index.js                                                                   | JavaScript         |         16 |          0 |          3 |         19 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\user\signUp\index.js                                                                   | JavaScript         |         16 |          0 |          2 |         18 |
| d:\Project\NewClientPanel\new_client_panel-app\src\pages\user\userInfoDetails\index.js                                                          | JavaScript         |         20 |          0 |          2 |         22 |
| d:\Project\NewClientPanel\new_client_panel-app\src\server\Service.js                                                                            | JavaScript         |        403 |         32 |          5 |        440 |
| d:\Project\NewClientPanel\new_client_panel-app\src\styles\fonts.css                                                                             | CSS                |         62 |          0 |          3 |         65 |
| d:\Project\NewClientPanel\new_client_panel-app\src\styles\globals.css                                                                           | CSS                |        131 |          2 |         11 |        144 |
| d:\Project\NewClientPanel\new_client_panel-app\tailwind.config.js                                                                               | JavaScript         |         78 |          4 |          2 |         84 |
| d:\Project\NewClientPanel\new_client_panel-app\utils\Random.js                                                                                  | JavaScript         |          5 |          0 |          1 |          6 |
| Total                                                                                                                                           |                    |     25,916 |        202 |        451 |     26,569 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
